asuntoId	asunto	dia	fecha
21	Exp. 134-S-07 - O.D. 267 - Votación en General y Particular. del 21/05/2008 19:07	21/05/2008	21/05/2008 19:07
22	Exp. 13-PE-08 - Artículo 1.- del 05/07/2008 12:59	05/07/2008	05/07/2008 12:59
23	Exp. 13-PE-08 - Artículo 2.- del 05/07/2008 13:17	05/07/2008	05/07/2008 13:17
24	Exp. 13-PE-08 - Votación en General. del 05/07/2008 12:14	05/07/2008	05/07/2008 12:14
25	Exp. 141-S-08 - Votación en General. del 11/03/2009 15:55	11/03/2009	11/03/2009 15:55
26	Exp. 144-S-07 - O.D. 1722 - Votación en General y Particular del 11/11/2009 21:07	11/11/2009	11/11/2009 21:07
27	Exp. 146-S-07 - Orden del Día 1529 - Votación en General. del 17/12/2008 17:22	17/12/2008	17/12/2008 17:22
28	Exp. 14-PE-08 - Orden del Día 1663 - Votación en General. del 18/11/2009 20:37	18/11/2009	18/11/2009 20:37
29	Exp. 152-S-08 (y otros) - O.D. 2109 - Vot. en Gral. y Part. del 25/11/2009 15:27	25/11/2009	25/11/2009 15:27
30	Exp. 1571-D-09 - Orden del Día 1903 - Vot. en Gral. y Part. del 28/10/2009 23:17	28/10/2009	28/10/2009 23:17
31	Exp. 160-S-07 - Orden del Día 346. Art. 11 modificado del 04/06/2008 21:01	04/06/2008	04/06/2008 21:01
32	Exp. 160-S-08 - O.D. 1723 - Votación en General y Particular del 11/11/2009 21:09	11/11/2009	11/11/2009 21:09
33	Exp. 1642-D-08 y otros - Votación en General. del 21/05/2008 21:25	21/05/2008	21/05/2008 21:25
34	Exp. 164-S-07 - O.D. 1724 - Votación en General y Particular del 11/11/2009 21:08	11/11/2009	11/11/2009 21:08
35	Exp. 1678-D-08 - O.D. 2243 - Vot. en General y Particular. del 18/11/2009 21:20	18/11/2009	18/11/2009 21:20
36	Exp. 1686-D-07 (y otro)-O.D. 63 - Vot. en Gral. y Particular del 07/05/2008 17:57	07/05/2008	07/05/2008 17:57
37	Exp. 16-PE-07 - Orden del Día 58 - Votación en General. del 28/02/2008 22:09	28/02/2008	28/02/2008 22:09
38	Exp. 16-PE-08 - Orden del Día 779 - Votación en General. del 06/11/2008 11:45	06/11/2008	06/11/2008 11:45
39	Exp. 170-S-07 - Orden del Día 57 - Votación en General. del 28/02/2008 18:17	28/02/2008	28/02/2008 18:17
40	Exp. 17-PE-07 - Orden del Día 868 - Votación en General. del 17/12/2008 16:52	17/12/2008	17/12/2008 16:52
41	Exp. 1877-D-08 - Orden del Día 326 - Votación en General. del 11/06/2008 18:47	11/06/2008	11/06/2008 18:47
42	Exp. 18-PE-08 - Orden del Día 591 - Votación en General. del 22/08/2008 01:48	22/08/2008	22/08/2008 01:48
43	Exp. 1933-D-08 - O.D.1725 - Votación en General y Particular del 11/11/2009 21:10	11/11/2009	11/11/2009 21:10
44	Exp. 19-PE-08 - Artículo 15. del 04/09/2008 03:42	04/09/2008	04/09/2008 03:42
45	Exp. 19-PE-08 - Artículo 6. del 04/09/2008 03:39	04/09/2008	04/09/2008 03:39
46	Exp. 19-PE-08 - Votación en General. del 04/09/2008 03:30	04/09/2008	04/09/2008 03:30
47	Exp. 1-PE-08 - Orden del Día 292 - Votación en General. del 11/06/2008 18:46	11/06/2008	11/06/2008 18:46
48	Exp. 2177-D-08 - O.D. 2128 - Vot. en General y Particular. del 04/11/2009 22:14	04/11/2009	04/11/2009 22:14
49	Exp. 2183-D-09 - Votación en General y Particular. del 18/11/2009 20:32	18/11/2009	18/11/2009 20:32
50	Exp. 21-PE-08 - O. D. 887 - Vot. en General y Particular. del 01/10/2008 12:01	01/10/2008	01/10/2008 12:01
51	Exp. 2213-D-08 - Orden del Día 500 - Votación en General. del 20/08/2008 18:52	20/08/2008	20/08/2008 18:52
52	Exp. 2287-D-09 - O.D. 2372 - Vot. en General y Particular. del 25/11/2009 16:06	25/11/2009	25/11/2009 16:06
53	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 10. del 17/09/2009 01:57	17/09/2009	17/09/2009 01:57
54	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 11. del 17/09/2009 01:58	17/09/2009	17/09/2009 01:58
55	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 119. del 17/09/2009 03:04	17/09/2009	17/09/2009 03:04
56	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 124. del 17/09/2009 03:05	17/09/2009	17/09/2009 03:05
57	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 14. del 17/09/2009 01:59	17/09/2009	17/09/2009 01:59
58	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 146. del 17/09/2009 03:10	17/09/2009	17/09/2009 03:10
59	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 16. del 17/09/2009 02:02	17/09/2009	17/09/2009 02:02
60	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 161. del 17/09/2009 03:17	17/09/2009	17/09/2009 03:17
61	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 20. del 17/09/2009 02:06	17/09/2009	17/09/2009 02:06
62	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 25. del 17/09/2009 02:23	17/09/2009	17/09/2009 02:23
63	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 32. del 17/09/2009 02:38	17/09/2009	17/09/2009 02:38
64	Exp. 22-PE-09 y otros - Orden del Día 2005 - Artículo 76. del 17/09/2009 02:46	17/09/2009	17/09/2009 02:46
65	Exp. 22-PE-09 y otros - Orden del Día 2005 - Vot. en General del 17/09/2009 01:15	17/09/2009	17/09/2009 01:15
66	Exp. 237-S-07 - Votación en General y Particular. del 05/08/2009 19:51	05/08/2009	05/08/2009 19:51
67	Exp. 23-PE-09 - Orden del Día 2124 - Votación en General. del 04/11/2009 21:55	04/11/2009	04/11/2009 21:55
68	Exp. 246-S-07 - Orden del Día 59 - Votación en General. del 28/02/2008 20:41	28/02/2008	28/02/2008 20:41
69	Exp. 247-S-07 - Orden del Día 53 - Votación en General. del 28/02/2008 18:15	28/02/2008	28/02/2008 18:15
70	Exp. 2485-D-08 - Votación en General y Particular. del 25/11/2009 14:00	25/11/2009	25/11/2009 14:00
71	Exp. 248-S-07 - Votación en General. del 29/02/2008 00:24	29/02/2008	29/02/2008 00:24
72	Exp. 249-S-07 - Orden del Día 54 - Votación en General. del 29/02/2008 00:22	29/02/2008	29/02/2008 00:22
73	Exp. 24-PE-09 - O.D. 2113 - Vot. en General y Particular. del 04/11/2009 21:42	04/11/2009	04/11/2009 21:42
74	Exp. 2551-D-08 - O.D.2201 - Votación en General y Particular del 11/11/2009 21:13	11/11/2009	11/11/2009 21:13
75	Exp. 257-S-06 - Orden del Día 76 - Artículo 10. del 09/04/2008 22:59	09/04/2008	09/04/2008 22:59
76	Exp. 257-S-06 - Orden del Día 76 - Artículo 3. del 09/04/2008 22:53	09/04/2008	09/04/2008 22:53
77	Exp. 257-S-06 - Orden del Día 76 - Votación en General. del 09/04/2008 22:46	09/04/2008	09/04/2008 22:46
78	Exp. 2595-D-08 (y otros) - Votación en General. del 27/08/2008 20:55	27/08/2008	27/08/2008 20:55
79	Exp. 259-S-07 (y otro) - Artículo 12. del 12/03/2008 23:30	12/03/2008	12/03/2008 23:30
80	Exp. 259-S-07 (y otro) - Votación en General. del 12/03/2008 23:14	12/03/2008	12/03/2008 23:14
81	Exp. 25-PE-09 - Orden del Día 2114 - Votación en General. del 28/10/2009 20:20	28/10/2009	28/10/2009 20:20
82	Exp. 2655-D-08 (y otros) - OD 1719 - Vot. en Gral. y Part. del 20/05/2009 21:10	20/05/2009	20/05/2009 21:10
83	Exp. 2675-D-08 - Votación en General. del 27/08/2008 18:21	27/08/2008	27/08/2008 18:21
84	Exp. 26-PE-07 - Orden del Día 128 - Votación en General. del 07/05/2008 18:01	07/05/2008	07/05/2008 18:01
85	Exp. 26-PE-09 - Orden del Día 2115 - Vot. en Gral. y Part. del 28/10/2009 18:37	28/10/2009	28/10/2009 18:37
86	Exp. 273-D-09 y otros - Vot. en General y Particular. del 25/11/2009 14:04	25/11/2009	25/11/2009 14:04
87	Exp. 275-D-08 - Votación en General y Particular. del 25/11/2009 14:37	25/11/2009	25/11/2009 14:37
88	Exp. 275-S-06 - Orden del Día 55 - Votación en General. del 28/02/2008 23:14	28/02/2008	28/02/2008 23:14
89	Exp. 27-PE-08 - Orden del Día 1167 - Art. 15-16-17-18. del 07/11/2008 02:37	07/11/2008	07/11/2008 02:37
